time,Year,SiteName,n,nCheck,modMedian,modMean,modci90lo,modci90up,rawMean
2,2018,Flat Irons,4000,4000,524.2243089066733,643.1225624672701,191.46291391104228,1527.3918510791405,6.2624618007911
2,2018,Horseshoe Inside,4000,4000,681.236755200527,846.9390475750339,234.00631114532476,1994.840915068508,6.530050811853446
2,2018,Lady Bay,4000,4000,526.1443630689846,669.7670058665276,185.3282528530809,1646.6701253543308,6.286407770646871
2,2018,Moana Outside,4000,4000,418.2537726257001,518.420478472263,142.22270702469717,1223.3340111525854,6.034904971083681
2,2018,Myponga Reef,4000,4000,344.93835781028656,427.12918215229405,120.20799956160917,1032.0086838986724,5.844766790935008
2,2018,Newland Head,4000,4000,827.0890514145027,1005.1397915192115,303.16632013958986,2317.441438941053,6.715435429782836
2,2018,Noarlunga North Outside,4000,4000,1168.0738933438383,1444.171539296637,400.9758222517443,3418.368361574321,7.062232042221153
2,2018,Noarlunga South Outside,4000,4000,1442.8428559391277,1808.5537615397309,504.4470560663391,4272.6721031402585,7.284408058168536
2,2018,Normanville Beach,4000,4000,441.1474111230235,553.6161735106214,153.2368582113165,1300.63190672463,6.094930922233526
2,2018,Olivers Reef,4000,4000,358.24915941812105,445.77379748013345,123.37192254288107,1065.3890176312134,5.892152581307462
2,2018,Outside Granite Island,4000,4000,642.8193769452937,786.1615706659663,222.90886230403314,1819.6607576884257,6.467022440758906
2,2018,Parham Reef,4000,4000,338.69279027708615,440.0122426306421,101.20583726286701,1098.983487616082,5.821185846689738
2,2018,Porpoise Head,4000,4000,959.7161195392723,1209.2039626665232,338.31188805899166,2874.2468063213482,6.880889869223253
2,2018,Port Elliot Deep,4000,4000,420.93306574863806,539.7063698752115,137.81203828803183,1375.0597210555875,6.054397654632754
2,2018,Port Gawler,4000,4000,1495.4706537583327,1904.5200867904425,474.097696294646,4757.1976098927735,7.311945221712542
2,2018,Rapid Bay Jetty,4000,4000,962.072255251352,1164.2631282917694,342.6793549754984,2683.925189361108,6.861499366641989
2,2018,Rapid Head East,4000,4000,530.2694007198398,637.6873377507424,181.30026807189873,1441.6667050778244,6.26441502809595
2,2018,Rapid Head Windmill,4000,4000,516.4372467438668,635.3611616611638,183.33635327975975,1502.9355094304537,6.251681292035249
2,2018,Ripple Rock,4000,4000,773.6309842083972,940.5977246540781,269.5217461332215,2175.425680048763,6.646442586795616
2,2018,Seacliff Reef,4000,4000,488.5290016977589,603.7386628647662,169.27392806241778,1455.8925437986047,6.191043565661026
2,2018,Semaphore Reef,4000,4000,296.0515834550839,398.8148400533737,79.86157709935473,1049.7269578193423,5.686883020686285
2,2018,Shag Rock Carrickalinga,4000,4000,1361.1537809031593,1670.662237221534,478.9743186912848,3786.5481114299346,7.226531135484037
2,2018,South Shores,4000,4000,830.9170992801844,1021.2197400678947,268.4463955336853,2421.495782756678,6.705283303060649
2,2018,Southport,4000,4000,332.08837221113873,414.07907237775316,101.35216423170289,1002.5057513743848,5.78583239741129
2,2018,The Bluff,4000,4000,533.4582184438292,645.8162384484981,183.48271499480654,1497.1361022731137,6.268304331554755
2,2018,West Island Outer,4000,4000,694.1612956990604,862.5953705828575,250.79072830583007,2016.242448814004,6.5541349204985115
2,2018,Whalebone,4000,4000,1144.7782720035298,1403.9561113895413,405.78444151770793,3271.089191680121,7.047701661531291
2,2018,Yankalilla Mouth,4000,4000,211.283385752198,296.9605463135925,52.240773550438696,857.4492412623378,5.342877640248399
