time,Year,SiteName,n,nCheck,modMedian,modMean,modci90lo,modci90up,text
1,2017,Whalebone,4000,4000,237.26556195886354,726.5776834712003,18.39713721540966,2737.785982150117,237.3 (18.4 to 2737.8)
1,2017,Yankalilla Mouth,4000,4000,207.15466374603915,1351.7644053168463,7.625144936807365,5052.9377542196535,207.2 (7.6 to 5052.9)
2,2018,Aldinga Pinnacles,4000,4000,722.3305643215144,989.5734469226835,96.61638954583252,2770.658855939973,722.3 (96.6 to 2770.7)
2,2018,Backstairs Deep,4000,4000,752.8044120630522,1066.117744501312,102.35218669594319,3046.503437694549,752.8 (102.4 to 3046.5)
2,2018,Basham's Beach,4000,4000,1687.5843173703192,3608.5065303551105,178.5922840869704,13440.565026629798,1687.6 (178.6 to 13440.6)
2,2018,Broken Bottom,4000,4000,491.3366793857025,678.9831867402087,64.19399899915672,1943.3806249677823,491.3 (64.2 to 1943.4)
2,2018,Cape Jervis South,4000,4000,324.6413088329037,460.6778155254653,43.42374199352573,1327.8679009351686,324.6 (43.4 to 1327.9)
2,2018,Carrickalinga Head,4000,4000,573.3851466305402,794.3340717898385,71.36856192446066,2238.1148885239204,573.4 (71.4 to 2238.1)
2,2018,Carrickalinga North3,4000,4000,340.68104756300926,474.7299363940316,44.387685324637616,1380.6587974751594,340.7 (44.4 to 1380.7)
2,2018,Carrickalinga South Bay,4000,4000,642.0436833064018,872.2785981291084,89.15769542542547,2399.3628900156186,642 (89.2 to 2399.4)
2,2018,Chiton Rocks,4000,4000,197.95783385180363,286.18517412937433,25.765713652772043,862.5935310995231,198 (25.8 to 862.6)
2,2018,Deep Creek,4000,4000,601.4486225309821,832.2029462779968,75.5303870848679,2368.9604047050557,601.4 (75.5 to 2369)
2,2018,Dodd's Beach,4000,4000,431.3219122005807,599.1042134296124,61.02335654670518,1680.6849746474732,431.3 (61 to 1680.7)
2,2018,Encounter Deep,4000,4000,422.0193873218689,606.8970348121284,52.56425937881486,1805.774597119848,422 (52.6 to 1805.8)
2,2018,Fishery Beach,4000,4000,594.8099804315445,848.678299465045,83.09602653697516,2438.0544389055954,594.8 (83.1 to 2438.1)
2,2018,Flat Irons,4000,4000,693.930620826512,939.3549059042157,92.92287996062645,2656.6614085095525,693.9 (92.9 to 2656.7)
2,2018,Horseshoe Inside,4000,4000,502.77512113388474,696.2818858384478,68.33317657901574,1942.675719132792,502.8 (68.3 to 1942.7)
2,2018,Lady Bay,4000,4000,244.8068541381087,340.89450884825516,32.56107569443455,947.4418919494183,244.8 (32.6 to 947.4)
2,2018,Moana Outside,4000,4000,517.6701756683374,705.7655916429068,70.52287551646717,1951.9816838655806,517.7 (70.5 to 1952)
2,2018,Myponga Reef,4000,4000,399.2636598380623,565.8843197845938,50.314326310097854,1611.9596853466794,399.3 (50.3 to 1612)
2,2018,Newland Head,4000,4000,869.311797735606,1199.9247888524096,117.28904483847441,3473.27417281775,869.3 (117.3 to 3473.3)
2,2018,Noarlunga North Outside,4000,4000,764.7942119519134,1048.4919327626867,98.02380674595346,2922.8411209245637,764.8 (98 to 2922.8)
2,2018,Noarlunga South Outside,4000,4000,935.4125939679901,1309.293189215642,121.77993590047154,3730.305276544274,935.4 (121.8 to 3730.3)
2,2018,Normanville Beach,4000,4000,176.0345098072408,260.953365851078,21.708715784036134,794.6241694562495,176 (21.7 to 794.6)
2,2018,Olivers Reef,4000,4000,477.78876209617295,664.4308512865368,66.37674051084157,1917.7904432470834,477.8 (66.4 to 1917.8)
2,2018,Outside Granite Island,4000,4000,522.596801866734,750.0086651114658,70.17391171681048,2175.6849526394526,522.6 (70.2 to 2175.7)
2,2018,Parham Reef,4000,4000,46.42786541527799,74.05976555216763,5.802496047717385,235.71672749649014,46.4 (5.8 to 235.7)
