OBJECTID,MPNAME,RESTYPE,RES_NUM,ZONE_TYPE,ZONE_CODE,MPZoneID,ZONE_TYPCODE,ZONE_TIME,ZONE_NAME,SHAPEAREA,SHAPELEN
162,Southern Spencer Gulf,MP,12,GMUZ,3,193,GMUZ-3,All Year,NA,387217710.594298,102187.258157482
163,Lower Yorke Peninsula,MP,13,HPZ,1,146,HPZ-1,All Year,NA,659779950.717168,171422.342057472
164,Encounter,MP,15,HPZ,2,149,HPZ-2,All Year,NA,58449.4507295,1001.35907909861
165,Encounter,MP,15,HPZ,3,150,HPZ-3,All Year,NA,518456.882928,5103.594364211321
166,Encounter,MP,15,GMUZ,2,198,GMUZ-2,All Year,NA,472135383.226002,133337.226934621
167,Encounter,MP,15,GMUZ,5,201,GMUZ-5,All Year,NA,223133954.82937,93519.76755356659
168,Encounter,MP,15,GMUZ,6,202,GMUZ-6,All Year,NA,133055137.725397,55954.9656961364
169,Western Kangaroo Island,MP,16,SZ,2,76,SZ-2,All Year,Kangaroo Island Upwelling,109759191.178662,51029.790195224
170,Western Kangaroo Island,MP,16,HPZ,1,155,HPZ-1,All Year,NA,702370683.884363,241701.598830735
174,Upper Spencer Gulf,MP,10,SZ,5,47,SZ-5,All Year,Cuttlefish Coast,6487953.1600175,12271.3764175546
171,Encounter,MP,15,SZ,9,72,SZ-9,All Year,Pelican Lagoon,16092370.775941,30040.693413711702
172,Upper South East,MP,18,SZ,1,79,SZ-1,All Year,Coorong Beach South,40358778.014196,25647.190517325602
173,Nuyts Archipelago,MP,2,SZ,1,4,SZ-1,All Year,Nuyts Reef,104764887.862276,52510.9198664013
175,Eastern Spencer Gulf,MP,11,SZ,1,52,SZ-1,All Year,Cape Elizabeth,32718976.9364535,25387.0111163635
176,Eastern Spencer Gulf,MP,11,SZ,3,54,SZ-3,All Year,Goose Island,592651.858188,3110.1941890460903
177,Southern Spencer Gulf,MP,12,SZ,1,55,SZ-1,All Year,Chinamans Hat,81378933.977049,38907.84317195311
178,Upper Spencer Gulf,MP,10,SZ,9,51,SZ-9,All Year,Port Davis,17925593.900730502,18509.6513757376
179,Upper Spencer Gulf,MP,10,SZ,7,49,SZ-7,All Year,Cowleds Landing,37959359.901202,39222.7115547575
207,Southern Spencer Gulf,MP,12,SZ,2,56,SZ-2,All Year,Orcades Bank,62983938.2726905,31996.42782521
208,Upper Gulf St Vincent,MP,14,SZ,2,61,SZ-2,All Year,Middle Spit,22804383.48419,21649.77132442
209,Upper Gulf St Vincent,MP,14,SZ,3,62,SZ-3,All Year,Offshore Ardrossan,36662684.215215,24392.72813982
210,Encounter,MP,15,SZ,1,64,SZ-1,All Year,Onkaparinga River,234555.7295745,2066.4119885404302
211,Encounter,MP,15,SZ,6,69,SZ-6,All Year,Encounter Bay,28643682.7613265,26065.0406731302
