CAABcode,Family,Genus,Species,Species2,COMMON NAME
37385006,Odacidae,Siphonognathus,beddomei,Siphonognathus beddomei,Pencil Weed Whiting
37385009,Odacidae,Haletta,semifasciata,Haletta semifasciata,Blue Weed-whiting
37385010,Odacidae,Heteroscarus,acroptilus,Heteroscarus acroptilus,Rainbow Cale
37385011,Odacidae,Siphonognathus,caninis,Siphonognathus caninis,Sharpnose Weed Whiting
37385012,Odacidae,Siphonognathus,tanyourus,Siphonognathus tanyourus,Longtail Weed Whiting
37385905,Odacidae,Siphonognathus,sp,Siphonognathus sp,Weed Whiting
37390002,Pinguipedidae,Parapercis,ramsayi,Parapercis ramsayi,Spotted Grubfish
37390004,Pinguipedidae,Parapercis,haackei,Parapercis haackei,Wavy Grubfish
37415015,Tripterygiidae,Helcogramma,decurrens,Helcogramma decurrens,Blackthroat Threefin
37439001,Gempylidae,Thyrsites,atun,Thyrsites atun,Barracouta
37465001,Monacanthidae,Acanthaluteres,brownii,Acanthaluteres brownii,Spinytail Leatherjacket
37465002,Monacanthidae,Acanthaluteres,vittiger,Acanthaluteres vittiger,Toothbrush Leatherjacket
37465003,Monacanthidae,Eubalichthys,mosaicus,Eubalichthys mosaicus,Mosaic Leatherjacket
37465004,Monacanthidae,Meuschenia,hippocrepis,Meuschenia hippocrepis,Horseshoe Leatherjacket
37465005,Monacanthidae,Meuschenia,scaber,Meuschenia scaber,Velvet Leatherjacket
37465007,Monacanthidae,Scobinichthys,granulatus,Scobinichthys granulatus,Rough Leatherjacket
37465008,Monacanthidae,Meuschenia,australis,Meuschenia australis,Brownstriped Leatherjacket
37465025,Monacanthidae,Brachaluteres,jacksonianus,Brachaluteres jacksonianus,Southern Pygmy Leatherjacket
37465034,Monacanthidae,Eubalichthys,gunnii,Eubalichthys gunnii,Gunn's Leatherjacket
37465035,Monacanthidae,Meuschenia,flavolineata,Meuschenia flavolineata,Yellowstriped Leatherjacket
37465036,Monacanthidae,Meuschenia,freycineti,Meuschenia freycineti,Sixspine Leatherjacket
37465037,Monacanthidae,Thamnaconus,degeni,Thamnaconus degeni,Bluefin Leatherjacket
37465040,Monacanthidae,Meuschenia,galii,Meuschenia galii,Bluelined Leatherjacket
37465043,Monacanthidae,Acanthaluteres,spilomelanurus,Acanthaluteres spilomelanurus,Bridled Leatherjacket
37465055,Monacanthidae,Eubalichthys,cyanoura,Eubalichthys cyanoura,Bluetail Leatherjacket
37465060,Monacanthidae,Meuschenia,venusta,Meuschenia venusta,Stars-and-stripes Leatherjacket
37465902,Monacanthidae,Meuschenia,sp,Meuschenia sp,Leatherjacket
37465903,Monacanthidae,Monacanthidae,sp, sp,Leatherjacket
37465903,Monacanthidae,MONACANTHIDAE,sp,MONACANTHIDAE sp,Leatherjacket
37465905,Monacanthidae,Acanthaluteres,sp,Acanthaluteres sp,Leatherjacket (Acanthaluteres)
37466001,Ostraciidae,Aracana,ornata,Aracana ornata,Ornate Cowfish
37466003,Ostraciidae,Aracana,aurita,Aracana aurita,Shaw's Cowfish
37466015,Ostraciidae,Anoplocapros,amygdaloides,Anoplocapros amygdaloides,Western Smooth Boxfish
37466903,Ostraciidae,Aracana,sp,Aracana sp,Boxfish
37467002,Tetraodontidae,Omegophora,armilla,Omegophora armilla,Ringed Toadfish
37467048,Tetraodontidae,Omegophora,cyanopunctata,Omegophora cyanopunctata,Bluespotted Toadfish
37469001,Diodontidae,Diodon,nicthemerus,Diodon nicthemerus,Globefish
37990078,NA,Fish,sp,Fish sp,Fish unknown
37990078,NA,Fish,unk,Fish unk,Fish unknown
40048003,Phalacrocoracidae,Phalacrocorax,fuscescens,Phalacrocorax fuscescens,Black faced cormorant
41116019,Delphinidae,Tursiops,truncatus,Tursiops truncatus,Common Bottlenose dolphin
