OpCode,SZname,SZFullname,SiteName,InOutSZ,YearMonth,FieldSeason,MPZoneID,MPNAME,RES_NUM
RHSO04_1512,RH,Rapid Head,RHS,O,1512,2015_16,68,Encounter,15
BSCI01_1605,BS,Bay of Shoals,BSC,I,1605,2015_16,71,Encounter,15
BSCI02_1605,BS,Bay of Shoals,BSC,I,1605,2015_16,71,Encounter,15
BSCI03_1605,BS,Bay of Shoals,BSC,I,1605,2015_16,71,Encounter,15
BSCI04_1605,BS,Bay of Shoals,BSC,I,1605,2015_16,71,Encounter,15
BSEI01_1605,BS,Bay of Shoals,BSE,I,1605,2015_16,71,Encounter,15
BSEI02_1605,BS,Bay of Shoals,BSE,I,1605,2015_16,71,Encounter,15
BSEI03_1605,BS,Bay of Shoals,BSE,I,1605,2015_16,71,Encounter,15
BSEI04_1605,BS,Bay of Shoals,BSE,I,1605,2015_16,71,Encounter,15
BSWI01_1605,BS,Bay of Shoals,BSW,I,1605,2015_16,71,Encounter,15
BSWI02_1605,BS,Bay of Shoals,BSW,I,1605,2015_16,71,Encounter,15
BSWI03_1605,BS,Bay of Shoals,BSW,I,1605,2015_16,71,Encounter,15
BSWI04_1605,BS,Bay of Shoals,BSW,I,1605,2015_16,71,Encounter,15
BSCO01_1605,BS,Bay of Shoals,BSC,O,1605,2015_16,71,Encounter,15
BSCO02_1605,BS,Bay of Shoals,BSC,O,1605,2015_16,71,Encounter,15
BSCO03_1605,BS,Bay of Shoals,BSC,O,1605,2015_16,71,Encounter,15
BSCO04_1605,BS,Bay of Shoals,BSC,O,1605,2015_16,71,Encounter,15
BSEO01_1605,BS,Bay of Shoals,BSE,O,1605,2015_16,71,Encounter,15
BSEO02_1605,BS,Bay of Shoals,BSE,O,1605,2015_16,71,Encounter,15
BSEO03_1605,BS,Bay of Shoals,BSE,O,1605,2015_16,71,Encounter,15
BSEO04_1605,BS,Bay of Shoals,BSE,O,1605,2015_16,71,Encounter,15
BSWO01_1605,BS,Bay of Shoals,BSW,O,1605,2015_16,71,Encounter,15
BSWO02_1605,BS,Bay of Shoals,BSW,O,1605,2015_16,71,Encounter,15
BSWO03_1605,BS,Bay of Shoals,BSW,O,1605,2015_16,71,Encounter,15
BSWO04_1605,BS,Bay of Shoals,BSW,O,1605,2015_16,71,Encounter,15
WCCO01_1605,WC,Bay of Shoals,WCC,O,1605,2015_16,71,Encounter,15
WCCO02_1605,WC,Bay of Shoals,WCC,O,1605,2015_16,71,Encounter,15
WCCO03_1605,WC,Bay of Shoals,WCC,O,1605,2015_16,71,Encounter,15
WCCO04_1605,WC,Bay of Shoals,WCC,O,1605,2015_16,71,Encounter,15
WCNO01_1605,WC,Bay of Shoals,WCN,O,1605,2015_16,71,Encounter,15
WCNO02_1605,WC,Bay of Shoals,WCN,O,1605,2015_16,71,Encounter,15
WCNO03_1605,WC,Bay of Shoals,WCN,O,1605,2015_16,71,Encounter,15
WCNO04_1605,WC,Bay of Shoals,WCN,O,1605,2015_16,71,Encounter,15
WCSO01_1605,WC,Bay of Shoals,WCS,O,1605,2015_16,71,Encounter,15
WCSO02_1605,WC,Bay of Shoals,WCS,O,1605,2015_16,71,Encounter,15
WCSO03_1605,WC,Bay of Shoals,WCS,O,1605,2015_16,71,Encounter,15
BSCI01_1704,BS,Bay of Shoals,BSC,I,1704,2016_17,71,Encounter,15
BSCI02_1704,BS,Bay of Shoals,BSC,I,1704,2016_17,71,Encounter,15
BSCI03_1704,BS,Bay of Shoals,BSC,I,1704,2016_17,71,Encounter,15
BSCI04_1704,BS,Bay of Shoals,BSC,I,1704,2016_17,71,Encounter,15
BSCO01_1704,BS,Bay of Shoals,BSC,O,1704,2016_17,71,Encounter,15
BSCO02_1704,BS,Bay of Shoals,BSC,O,1704,2016_17,71,Encounter,15
BSCO03_1704,BS,Bay of Shoals,BSC,O,1704,2016_17,71,Encounter,15
BSCO04_1704,BS,Bay of Shoals,BSC,O,1704,2016_17,71,Encounter,15
BSEI01_1704,BS,Bay of Shoals,BSE,I,1704,2016_17,71,Encounter,15
BSEI02_1704,BS,Bay of Shoals,BSE,I,1704,2016_17,71,Encounter,15
BSEI03_1704,BS,Bay of Shoals,BSE,I,1704,2016_17,71,Encounter,15
BSEI04_1704,BS,Bay of Shoals,BSE,I,1704,2016_17,71,Encounter,15
BSEO01_1704,BS,Bay of Shoals,BSE,O,1704,2016_17,71,Encounter,15
BSEO02_1704,BS,Bay of Shoals,BSE,O,1704,2016_17,71,Encounter,15
BSEO03_1704,BS,Bay of Shoals,BSE,O,1704,2016_17,71,Encounter,15
BSEO04_1704,BS,Bay of Shoals,BSE,O,1704,2016_17,71,Encounter,15
BSWI01_1704,BS,Bay of Shoals,BSW,I,1704,2016_17,71,Encounter,15
BSWI02_1704,BS,Bay of Shoals,BSW,I,1704,2016_17,71,Encounter,15
BSWI03_1704,BS,Bay of Shoals,BSW,I,1704,2016_17,71,Encounter,15
BSWI04_1704,BS,Bay of Shoals,BSW,I,1704,2016_17,71,Encounter,15
BSWO01_1704,BS,Bay of Shoals,BSW,O,1704,2016_17,71,Encounter,15
BSWO02_1704,BS,Bay of Shoals,BSW,O,1704,2016_17,71,Encounter,15
BSWO03_1704,BS,Bay of Shoals,BSW,O,1704,2016_17,71,Encounter,15
BSWO04_1704,BS,Bay of Shoals,BSW,O,1704,2016_17,71,Encounter,15
CECI01_1701,CE,Cape Elizabeth,CEC,I,1701,2016_17,52,Eastern Spencer Gulf,11
CECI02_1701,CE,Cape Elizabeth,CEC,I,1701,2016_17,52,Eastern Spencer Gulf,11
CECI03_1701,CE,Cape Elizabeth,CEC,I,1701,2016_17,52,Eastern Spencer Gulf,11
CECI04_1701,CE,Cape Elizabeth,CEC,I,1701,2016_17,52,Eastern Spencer Gulf,11
CECO01_1701,CE,Cape Elizabeth,CEC,O,1701,2016_17,52,Eastern Spencer Gulf,11
CECO02_1701,CE,Cape Elizabeth,CEC,O,1701,2016_17,52,Eastern Spencer Gulf,11
CECO03_1701,CE,Cape Elizabeth,CEC,O,1701,2016_17,52,Eastern Spencer Gulf,11
CECO04_1701,CE,Cape Elizabeth,CEC,O,1701,2016_17,52,Eastern Spencer Gulf,11
